batch_id,separator,mod,plugin,plugin_path,input_id,selected_signature_counts
NQ001,--- USER CUSTOMIZATION ---,Authoria - Dummy Plugins,RaceCompatibility.esm,D:\Wabbajack\modlists\ARR 2.5\mods\Authoria - Dummy Plugins\RaceCompatibility.esm,81fe72895eeed5ab,FLST:2|KYWD:10
NQ001,Animations - Combat,BFCO - MCO - Diverse NPC Movesets,UltimateEbonyWarrior.esp,D:\Wabbajack\modlists\ARR 2.5\mods\BFCO - MCO - Diverse NPC Movesets\UltimateEbonyWarrior.esp,4993cbf86c81a7fb,KYWD:7|PERK:2|SPEL:13
NQ001,Animations - Combat,Smooth Moveset - OAR,Smooth Moveset.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Smooth Moveset - OAR\Smooth Moveset.esp,713e867485ed508c,KYWD:9|SPEL:19
NQ001,Animations - Combat,Vampire Claws - Unarmed moveset for vampires,VampireClaws.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Vampire Claws - Unarmed moveset for vampires\VampireClaws.esp,e9d3601affa242a0,SPEL:6
NQ001,Animations - Creature Animations,New Creature Animation - Dwarven Centurion - Pandora,CenturionMCO.esp,D:\Wabbajack\modlists\ARR 2.5\mods\New Creature Animation - Dwarven Centurion - Pandora\CenturionMCO.esp,b582febd1f3e84f7,SPEL:4
NQ001,Animations - Creature Animations,New Creature Animation - Giant,Giant_New_Anim.esl,D:\Wabbajack\modlists\ARR 2.5\mods\New Creature Animation - Giant\Giant_New_Anim.esl,6ff3cae074537611,SPEL:2
NQ001,Animations - Creature Animations,New Creature Animation - Werewolf,Werewolf_New_Anim.esp,D:\Wabbajack\modlists\ARR 2.5\mods\New Creature Animation - Werewolf\Werewolf_New_Anim.esp,7b9f8eefb283abf9,SPEL:7
NQ001,Animations - Creature Animations,Troll+MCO-DXP,Troll_MCO.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Troll+MCO-DXP\Troll_MCO.esp,86b2803b739f091c,ARMO:3|SPEL:10
NQ001,Animations - Dodge Animations,Tk Dodge RE Addon - Requiem Perk Lock,TK Dodge Perk Lock.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Tk Dodge RE Addon - Requiem Perk Lock\TK Dodge Perk Lock.esp,93061b286bad771b,PERK:3|SPEL:1
NQ001,Animations - Eating Animations and Sounds,Eating Animations - Fishing Patch,Taberu Animation - Fishing Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Eating Animations - Fishing Patch\Taberu Animation - Fishing Patch.esp,cf67396f81fa698f,ALCH:48
NQ002,Animations - Eating Animations and Sounds,Eating Animations - Patch Collection - rerun,Taberu Animation - LotD Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Eating Animations - Patch Collection - rerun\Taberu Animation - LotD Patch.esp,e9b9527d0576618e,ALCH:24
NQ002,Animations - Eating Animations and Sounds,Eating Animations - Patch Collection - rerun,Taberu Animation - Stros M'Kai Rum Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Eating Animations - Patch Collection - rerun\Taberu Animation - Stros M'Kai Rum Patch.esp,5a9a540ec8eb5eea,ALCH:3
NQ002,Animations - Eating Animations and Sounds,Eating Animations - Patch Collection - rerun,Taberu Animation - USSEP Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Eating Animations - Patch Collection - rerun\Taberu Animation - USSEP Patch.esp,4a6b3ac3e880e56f,ALCH:2
NQ002,Animations - Eating Animations and Sounds,Eating Animations - Patch Collection - rerun,Taberu Animation - Wyrmstooth Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Eating Animations - Patch Collection - rerun\Taberu Animation - Wyrmstooth Patch.esp,d7dd50c10898ac91,ALCH:6
NQ002,Animations - Eating Animations and Sounds,Eating Animations - Sweets and Such,Taberu Animation - Sweets and Such.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Eating Animations - Sweets and Such\Taberu Animation - Sweets and Such.esp,aab8b0a81f6ec3b3,ALCH:74
NQ002,Animations - Eating Animations and Sounds,Eating Animations - Xelzaz,Taberu Animation - Xelzaz.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Eating Animations - Xelzaz\Taberu Animation - Xelzaz.esp,754e6878395b2930,ALCH:21
NQ002,Animations - Foundation and Fixes,Sonders Keyword Distribution Resources,Sonders_Keyword_Distribution.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Sonders Keyword Distribution Resources\Sonders_Keyword_Distribution.esp,32b5468cd0f7eec6,KYWD:53
