work_id,batch_id,class,mod_key,mod_name,plugin,plugin_path,formid,editor_id
JOJ-A-MoonAndStar-001,B02,A,MoonAndStar,Moon and Star,MoonAndStar_MAS.esp,D:\Wabbajack\modlists\JoJ\mods\Moon and Star - Cleaned Fixed and ESMed\MoonAndStar_MAS.esp,005E60:MoonAndStar_MAS.esp,MASKagrenar
JOJ-A-MoonAndStar-002,B02,A,MoonAndStar,Moon and Star,MoonAndStar_MAS.esp,D:\Wabbajack\modlists\JoJ\mods\Moon and Star - Cleaned Fixed and ESMed\MoonAndStar_MAS.esp,0063D4:MoonAndStar_MAS.esp,MASTarenDialog
JOJ-A-MoonAndStar-003,B02,A,MoonAndStar,Moon and Star,MoonAndStar_MAS.esp,D:\Wabbajack\modlists\JoJ\mods\Moon and Star - Cleaned Fixed and ESMed\MoonAndStar_MAS.esp,00696B:MoonAndStar_MAS.esp,MASMainQuest
JOJ-A-MoonAndStar-004,B02,A,MoonAndStar,Moon and Star,MoonAndStar_MAS.esp,D:\Wabbajack\modlists\JoJ\mods\Moon and Star - Cleaned Fixed and ESMed\MoonAndStar_MAS.esp,00799C:MoonAndStar_MAS.esp,MASTorenDialog
JOJ-A-MoonAndStar-005,B02,A,MoonAndStar,Moon and Star,MoonAndStar_MAS.esp,D:\Wabbajack\modlists\JoJ\mods\Moon and Star - Cleaned Fixed and ESMed\MoonAndStar_MAS.esp,008F5C:MoonAndStar_MAS.esp,MASBelvadyrDialog
JOJ-A-MoonAndStar-006,B02,A,MoonAndStar,Moon and Star,MoonAndStar_MAS.esp,D:\Wabbajack\modlists\JoJ\mods\Moon and Star - Cleaned Fixed and ESMed\MoonAndStar_MAS.esp,009A22:MoonAndStar_MAS.esp,MASVelynaDialog
JOJ-A-MoonAndStar-007,B02,A,MoonAndStar,Moon and Star,MoonAndStar_MAS.esp,D:\Wabbajack\modlists\JoJ\mods\Moon and Star - Cleaned Fixed and ESMed\MoonAndStar_MAS.esp,009A3E:MoonAndStar_MAS.esp,MASAlbertDialog
JOJ-A-MoonAndStar-008,B02,A,MoonAndStar,Moon and Star,MoonAndStar_MAS.esp,D:\Wabbajack\modlists\JoJ\mods\Moon and Star - Cleaned Fixed and ESMed\MoonAndStar_MAS.esp,00C01B:MoonAndStar_MAS.esp,MASSelyseDialog
JOJ-A-MoonAndStar-009,B02,A,MoonAndStar,Moon and Star,MoonAndStar_MAS.esp,D:\Wabbajack\modlists\JoJ\mods\Moon and Star - Cleaned Fixed and ESMed\MoonAndStar_MAS.esp,00C066:MoonAndStar_MAS.esp,MASBalRanDialog
JOJ-A-MoonAndStar-010,B02,A,MoonAndStar,Moon and Star,MoonAndStar_MAS.esp,D:\Wabbajack\modlists\JoJ\mods\Moon and Star - Cleaned Fixed and ESMed\MoonAndStar_MAS.esp,00C63D:MoonAndStar_MAS.esp,MASBelvadyrFavor
JOJ-A-MoonAndStar-011,B02,A,MoonAndStar,Moon and Star,MoonAndStar_MAS.esp,D:\Wabbajack\modlists\JoJ\mods\Moon and Star - Cleaned Fixed and ESMed\MoonAndStar_MAS.esp,01138A:MoonAndStar_MAS.esp,MASNerevarineShrineDialog
JOJ-A-MoonAndStar-012,B02,A,MoonAndStar,Moon and Star,MoonAndStar_MAS.esp,D:\Wabbajack\modlists\JoJ\mods\Moon and Star - Cleaned Fixed and ESMed\MoonAndStar_MAS.esp,0123FC:MoonAndStar_MAS.esp,MASSelyseCounter
JOJ-A-MoonAndStar-013,B02,A,MoonAndStar,Moon and Star,MoonAndStar_MAS.esp,D:\Wabbajack\modlists\JoJ\mods\Moon and Star - Cleaned Fixed and ESMed\MoonAndStar_MAS.esp,01A5A7:MoonAndStar_MAS.esp,MASAzuraCurse
JOJ-A-MoonAndStar-014,B02,A,MoonAndStar,Moon and Star,MoonAndStar_MAS.esp,D:\Wabbajack\modlists\JoJ\mods\Moon and Star - Cleaned Fixed and ESMed\MoonAndStar_MAS.esp,01AB1D:MoonAndStar_MAS.esp,MASMTAssassins
JOJ-A-SinisterSeven-001,B02,A,SinisterSeven,The Sinister Seven,The_Sinister_Seven.esp,D:\Wabbajack\modlists\JoJ\mods\The Sinister Seven SSE\The_Sinister_Seven.esp,020895:The_Sinister_Seven.esp,Sin7_QuestLvL_AdventurerHire
JOJ-A-SinisterSeven-002,B02,A,SinisterSeven,The Sinister Seven,The_Sinister_Seven.esp,D:\Wabbajack\modlists\JoJ\mods\The Sinister Seven SSE\The_Sinister_Seven.esp,01569B:The_Sinister_Seven.esp,Sin7_QuestLvL_Assasssin
