input_id,batch_id,wave,separator,mod,plugin,plugin_path,evidence_id,evidence_kind,reader_status,record_signature,formid,editor_id,name,quest_expansion_classification,stage_numbers,evidence,signal_counts,proposed_triage,proposed_reason,notes,primary_review_status
f25d7223a559e34a,A013,A,City Stuff - Villages,Rob's Bug Fixes - TGC Kynesgrove,The Great Village of Kynesgrove.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Rob's Bug Fixes - TGC Kynesgrove\The Great Village of Kynesgrove.esp,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,,,DEFER,Primary semantic review required.,0 QUST direct-enumerated. Missing declared masters recorded. Duplicate plugin path appears in paired bugfix/base mod folder; FormIDs/editorIDs compared by direct enumeration.,UNREVIEWED
2cb2b5bcd8a4e469,A013,A,City Stuff - Villages,Rob's Bug Fixes - TGC Old Hroldan,The Great Village of Old Hroldan.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Rob's Bug Fixes - TGC Old Hroldan\The Great Village of Old Hroldan.esp,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,,,DEFER,Primary semantic review required.,0 QUST direct-enumerated. Duplicate plugin path appears in paired bugfix/base mod folder; FormIDs/editorIDs compared by direct enumeration.,UNREVIEWED
de986c15b2fd3dac,A013,A,City Stuff - Villages,The Great Village of Kynesgrove,The Great Village of Kynesgrove.esp,D:\Wabbajack\modlists\ARR 2.5\mods\The Great Village of Kynesgrove\The Great Village of Kynesgrove.esp,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,,,DEFER,Primary semantic review required.,0 QUST direct-enumerated. Missing declared masters recorded. Duplicate plugin path appears in paired bugfix/base mod folder; FormIDs/editorIDs compared by direct enumeration.,UNREVIEWED
fb6457861309b817,A013,A,City Stuff - Villages,The Great Village of Old Hroldan SSE,The Great Village of Old Hroldan.esp,D:\Wabbajack\modlists\ARR 2.5\mods\The Great Village of Old Hroldan SSE\The Great Village of Old Hroldan.esp,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,,,DEFER,Primary semantic review required.,0 QUST direct-enumerated. Duplicate plugin path appears in paired bugfix/base mod folder; FormIDs/editorIDs compared by direct enumeration.,UNREVIEWED
4d753ef5e8acf1fc,A013,A,City Stuff - Whiterun,JK's Dragonsreach,JK's Dragonsreach.esp,D:\Wabbajack\modlists\ARR 2.5\mods\JK's Dragonsreach\JK's Dragonsreach.esp,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,,,DEFER,Primary semantic review required.,1 QUST direct-enumerated.,UNREVIEWED
4d753ef5e8acf1fc,A013,A,City Stuff - Whiterun,JK's Dragonsreach,JK's Dragonsreach.esp,D:\Wabbajack\modlists\ARR 2.5\mods\JK's Dragonsreach\JK's Dragonsreach.esp,105A60:Skyrim.esm,QUST,read,QUST,105A60:Skyrim.esm,TutorialEnchanting,,existing-stage-edits-only,,Direct raw-file QUST enumeration; structural route only.,,DEFER,No semantic approval; primary review required.,,UNREVIEWED
c5cb2cc7d75b4629,A013,A,City Stuff - Whiterun,JK's Jorrvaskr,JK's Jorrvaskr.esp,D:\Wabbajack\modlists\ARR 2.5\mods\JK's Jorrvaskr\JK's Jorrvaskr.esp,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,,,DEFER,Primary semantic review required.,0 QUST direct-enumerated.,UNREVIEWED
2a0cd321f81ea529,A013,A,City Stuff - Whiterun,Kynareth Replaces Talos FOMOD,Kynareth Replaces Talos - Civil War Consequence.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Kynareth Replaces Talos FOMOD\Kynareth Replaces Talos - Civil War Consequence.esp,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,,,DEFER,Primary semantic review required.,0 QUST direct-enumerated.,UNREVIEWED
29603b6da4bdcede,A013,A,City Stuff - Whiterun,Persistent Dragonstone - Jk's Dragons Reach,persistentdragonstone.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Persistent Dragonstone - Jk's Dragons Reach\persistentdragonstone.esp,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,,,DEFER,Primary semantic review required.,1 QUST direct-enumerated.,UNREVIEWED
29603b6da4bdcede,A013,A,City Stuff - Whiterun,Persistent Dragonstone - Jk's Dragons Reach,persistentdragonstone.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Persistent Dragonstone - Jk's Dragons Reach\persistentdragonstone.esp,000D7A:persistentdragonstone.esp,QUST,read,QUST,000D7A:persistentdragonstone.esp,PerDS_DragonstoneMonitorQuest,,existing-stage-edits-only,,Direct raw-file QUST enumeration; structural route only.,,DEFER,No semantic approval; primary review required.,,UNREVIEWED
df33d6656152bfa7,A013,A,Gameplay - Death Alternative,Shadow of Skyrim - Nemesis and Alternative Death System,Shadow of Skyrim.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Shadow of Skyrim - Nemesis and Alternative Death System\Shadow of Skyrim.esp,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,,,DEFER,Primary semantic review required.,0 QUST direct-enumerated.,UNREVIEWED
