input_id,batch_id,wave,separator,mod,plugin,plugin_path,evidence_id,evidence_kind,reader_status,record_signature,formid,editor_id,name,quest_expansion_classification,stage_numbers,evidence,signal_counts,proposed_triage,proposed_reason,notes,primary_review_status
c383af71bfeb3155,B001,B,Gameplay - Combat,ADXP Bug Fixes,Attack_DXP.esp,D:\Wabbajack\modlists\ARR 2.5\mods\ADXP Bug Fixes\Attack_DXP.esp,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,Direct summary and exhaustive QUST enumeration: 0 QUST.,,NO-ROWS,No QUST.,,UNREVIEWED
a411680385cbd53c,B001,B,Gameplay - Combat,ADXP Bug Fixes,Attack_MCO_DXP.esp,D:\Wabbajack\modlists\ARR 2.5\mods\ADXP Bug Fixes\Attack_MCO_DXP.esp,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,Direct summary and exhaustive QUST enumeration: 2 QUST.,,DEFER,Primary review required.,,UNREVIEWED
a411680385cbd53c,B001,B,Gameplay - Combat,ADXP Bug Fixes,Attack_MCO_DXP.esp,D:\Wabbajack\modlists\ARR 2.5\mods\ADXP Bug Fixes\Attack_MCO_DXP.esp,QUST:00080A:Attack_MCO_DXP.esp,QUST,read,QUST,00080A:Attack_MCO_DXP.esp,Attack_MCO_DXP_MCM_Quest,,existing-stage-edits-only,,Direct raw enumeration.,,DEFER,Primary review required.,,UNREVIEWED
a411680385cbd53c,B001,B,Gameplay - Combat,ADXP Bug Fixes,Attack_MCO_DXP.esp,D:\Wabbajack\modlists\ARR 2.5\mods\ADXP Bug Fixes\Attack_MCO_DXP.esp,QUST:00080B:Attack_MCO_DXP.esp,QUST,read,QUST,00080B:Attack_MCO_DXP.esp,Attack_MCO_DXP_Quest,,existing-stage-edits-only,,Direct raw enumeration.,,DEFER,Primary review required.,,UNREVIEWED
da7ed2f0e18a5aa7,B001,B,Gameplay - Combat,ADXP MCO 1.6.0.6 Bug Fixes,Attack_DXP.esp,D:\Wabbajack\modlists\ARR 2.5\mods\ADXP MCO 1.6.0.6 Bug Fixes\Attack_DXP.esp,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,Direct summary and exhaustive QUST enumeration: 0 QUST.,,NO-ROWS,No QUST.,,UNREVIEWED
02ccb4f94630aef2,B001,B,Gameplay - Combat,ADXP MCO 1.6.0.6 Bug Fixes,Attack_MCO_DXP.esp,D:\Wabbajack\modlists\ARR 2.5\mods\ADXP MCO 1.6.0.6 Bug Fixes\Attack_MCO_DXP.esp,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,Direct summary and exhaustive QUST enumeration: 2 QUST.,,DEFER,Primary review required.,,UNREVIEWED
02ccb4f94630aef2,B001,B,Gameplay - Combat,ADXP MCO 1.6.0.6 Bug Fixes,Attack_MCO_DXP.esp,D:\Wabbajack\modlists\ARR 2.5\mods\ADXP MCO 1.6.0.6 Bug Fixes\Attack_MCO_DXP.esp,QUST:00080A:Attack_MCO_DXP.esp,QUST,read,QUST,00080A:Attack_MCO_DXP.esp,Attack_MCO_DXP_MCM_Quest,,existing-stage-edits-only,,Direct raw enumeration.,,DEFER,Primary review required.,,UNREVIEWED
02ccb4f94630aef2,B001,B,Gameplay - Combat,ADXP MCO 1.6.0.6 Bug Fixes,Attack_MCO_DXP.esp,D:\Wabbajack\modlists\ARR 2.5\mods\ADXP MCO 1.6.0.6 Bug Fixes\Attack_MCO_DXP.esp,QUST:00080B:Attack_MCO_DXP.esp,QUST,read,QUST,00080B:Attack_MCO_DXP.esp,Attack_MCO_DXP_Quest,,existing-stage-edits-only,,Direct raw enumeration.,,DEFER,Primary review required.,,UNREVIEWED
ca2dcf85eebdf888,B001,B,Gameplay - Combat,ADXP MCO 1.6.0.6 Bug Fixes,mco_keytrace_tdm_patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\ADXP MCO 1.6.0.6 Bug Fixes\mco_keytrace_tdm_patch.esp,PLUGIN,PLUGIN-NO-ROWS,read,,,,,,,Direct summary and exhaustive QUST enumeration: 0 QUST.,,NO-ROWS,No QUST.,,UNREVIEWED
04ce38bf4b6c3c80,B001,B,Gameplay - Combat,Bow Rapid Combo V3 - Archer Combat Overhaul,BowRapidCombo.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Bow Rapid Combo V3 - Archer Combat Overhaul\BowRapidCombo.esp,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,Direct summary and exhaustive QUST enumeration: 2 QUST.,,DEFER,Primary review required.,,UNREVIEWED
