input_id,batch_id,wave,separator,mod,plugin,plugin_path,evidence_id,evidence_kind,reader_status,record_signature,formid,editor_id,name,quest_expansion_classification,stage_numbers,evidence,signal_counts,proposed_triage,proposed_reason,notes,primary_review_status
e7ee6d9a545a3d8e,NQ089,NQ,Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - JK's Mistveil Keep patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Lux (patch hub) - rerun\Lux - JK's Mistveil Keep patch.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ACTI:7|LCTN:1,,,,UNREVIEWED
147c849c56548f0f,NQ089,NQ,Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - JK's New Gnisis Cornerclub patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Lux (patch hub) - rerun\Lux - JK's New Gnisis Cornerclub patch.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ACTI:5,,,,UNREVIEWED
51de32f03215b040,NQ089,NQ,Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - JK's Palace of Kings patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Lux (patch hub) - rerun\Lux - JK's Palace of Kings patch.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ACTI:4,,,,UNREVIEWED
9ec3d6cd8c809418,NQ089,NQ,Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - JK's Pawned Prawn patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Lux (patch hub) - rerun\Lux - JK's Pawned Prawn patch.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ACTI:1,,,,UNREVIEWED
102166422f59bf09,NQ089,NQ,Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - JK's Radiant Raiment patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Lux (patch hub) - rerun\Lux - JK's Radiant Raiment patch.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ACTI:3|LCTN:1,,,,UNREVIEWED
67e7cf841085c9f3,NQ089,NQ,Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - JK's Raven Rock patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Lux (patch hub) - rerun\Lux - JK's Raven Rock patch.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ACTI:4,,,,UNREVIEWED
50c81ce09216f67c,NQ089,NQ,Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - JK's The Hag's Cure patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Lux (patch hub) - rerun\Lux - JK's The Hag's Cure patch.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ACTI:1|LCTN:1,,,,UNREVIEWED
fd79bcea370b474b,NQ089,NQ,Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - JK's Understone Keep patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Lux (patch hub) - rerun\Lux - JK's Understone Keep patch.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ACTI:8,,,,UNREVIEWED
b6773c27e7cb5298,NQ089,NQ,Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - JK's Warmaidens patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Lux (patch hub) - rerun\Lux - JK's Warmaidens patch.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ACTI:1,,,,UNREVIEWED
13e75e9713333ade,NQ089,NQ,Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Legacy of the Dragonborn patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Lux (patch hub) - rerun\Lux - Legacy of the Dragonborn patch.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ACTI:59|CONT:3|DOOR:2|LCTN:5,,,,UNREVIEWED
